,index,X,Y,Spatial Step,Event,Time Start,Time Span,Accuracy,Motor_Status
356,36,5,5,3,SR,-0.3,0.1,0.5483870967741935,1.0
357,37,5,6,3,SR,-0.3,0.1,0.4516129032258064,1.0
358,38,5,7,3,SR,-0.3,0.1,0.6129032258064516,1.0
359,39,5,8,3,SR,-0.3,0.1,0.6129032258064516,1.0
360,40,6,1,3,SR,-0.3,0.1,0.6129032258064516,0.0
361,41,6,2,3,SR,-0.3,0.1,0.6129032258064516,0.0
362,42,6,3,3,SR,-0.3,0.1,0.4516129032258064,1.0
363,43,6,4,3,SR,-0.3,0.1,0.6129032258064516,1.0
364,44,6,5,3,SR,-0.3,0.1,0.5483870967741935,1.0
365,45,6,6,3,SR,-0.3,0.1,0.4516129032258064,1.0
366,46,6,7,3,SR,-0.3,0.1,0.4193548387096774,1.0
367,47,6,8,3,SR,-0.3,0.1,0.4516129032258064,1.0
368,48,7,1,3,SR,-0.3,0.1,0.6451612903225806,0.0
369,49,7,2,3,SR,-0.3,0.1,0.4193548387096774,1.0
370,50,7,3,3,SR,-0.3,0.1,0.5806451612903226,1.0
371,51,7,4,3,SR,-0.3,0.1,0.6774193548387096,1.0
372,52,7,5,3,SR,-0.3,0.1,0.6451612903225806,1.0
373,53,7,6,3,SR,-0.3,0.1,0.4516129032258064,1.0
374,54,7,7,3,SR,-0.3,0.1,0.4516129032258064,1.0
375,55,7,8,3,SR,-0.3,0.1,0.5483870967741935,1.0
376,56,8,1,3,SR,-0.3,0.1,0.7096774193548387,0.0
377,57,8,2,3,SR,-0.3,0.1,0.6774193548387096,1.0
378,58,8,3,3,SR,-0.3,0.1,0.5806451612903226,1.0
379,59,8,4,3,SR,-0.3,0.1,0.4838709677419355,1.0
380,60,8,5,3,SR,-0.3,0.1,0.5483870967741935,1.0
381,61,8,6,3,SR,-0.3,0.1,0.4516129032258064,1.0
382,62,8,7,3,SR,-0.3,0.1,0.6129032258064516,1.0
383,63,8,8,3,SR,-0.3,0.1,0.6774193548387096,1.0
384,0,1,1,3,SR,-0.2,0.1,0.5806451612903226,0.0
385,1,1,2,3,SR,-0.2,0.1,0.4193548387096774,0.0
386,2,1,3,3,SR,-0.2,0.1,0.4838709677419355,0.0
